day,contract_address,name,total_supply,total_stablecoin_supply
2025-07-05,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1311339.7163759994,317105678.4610648
2025-07-05,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-07-05,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-07-05,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3583123.563347224,317105678.4610648
2025-07-05,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,70646276.49235204,317105678.4610648
2025-07-05,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,21265253.123001,317105678.4610648
2025-07-04,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-07-04,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,21165243.125495,317105678.4610648
2025-07-04,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1310552.4546659994,317105678.4610648
2025-07-04,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,69062451.66780104,317105678.4610648
2025-07-04,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2381230.903494686,317105678.4610648
2025-07-04,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,75207100.19864862,317105678.4610648
2025-07-04,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-07-04,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11730081.658600997,317105678.4610648
2025-07-04,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3381993.5196054997,317105678.4610648
2025-07-04,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-07-03,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3613373.54874571,317105678.4610648
2025-07-03,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-07-03,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,20175601.905444,317105678.4610648
2025-07-03,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
